POS_MSISDN,Distributer,Plan Name,Customer Tenure,Tenure Category,Status,Status Reason,Segment1,Segment2,Churn Flag,Customer Interaction Score,Loyalty Points,Data Usage Tier,Customer Segment Change Flag
ORG3448,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Basic Orange Plan,88,Medium-term,Hard Suspended,Violation of terms,Prepaid,Residential,1,3,48,1,TRUE
ORG2868,FJFLDTBLFT,Governorates 10,95,Medium-term,Active,Good Service,Postpaid,PRO,1,7,65,3,TRUE
ORG2712,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,104,Medium-term,Active,Good Service,Prepaid,PRO,1,6,65,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Service Quality,Postpaid,Corporate,1,9,73,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 60,18,Short-term,Deactive,Lack of Usage,Postpaid,Corporate,1,5,10,3,TRUE
ORG2574,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Family Orange Plan 10,126,Long-term,Active,Good Service,Prepaid,Residential,0,7,85,1,TRUE
ORG4277,HPLDFN NBRL,Student Plan 5,101,Medium-term,Soft Suspended,Service upgrade,Prepaid,Residential,0,10,55,1,TRUE
ORG4438,BJRPPRT TFRNJNBL 1,Traveler's Plan,151,Long-term,Hard Suspended,Illegal usage,Prepaid,Residential,0,5,65,1,TRUE
ORG2712,JBRBTH JT THPP,Orange 30,145,Long-term,Hard Suspended,Non-payment,Postpaid,Residential,0,5,65,3,FALSE
ORG3798,JNTFRNBL DFPBRTNFNTT,Student Plan 5,84,Short-term,Soft Suspended,Service upgrade,Prepaid,Residential,0,8,55,1,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,40,Short-term,Deactive,Technical Difficulties,Postpaid,Corporate,1,5,87,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Economy Plan,20,Short-term,Deactive,Moved,Postpaid,Corporate,1,3,84,3,TRUE
ORG2805,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Basic Orange Plan,125,Long-term,Hard Suspended,Non-payment,Prepaid,Residential,0,1,65,1,FALSE
ORG4080,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,65,Short-term,Active,Good Service,Prepaid,PRO,0,5,65,2,FALSE
ORG3120,JRBJD _JT THPP,Basic Orange Plan,139,Long-term,Active,Good Service,Prepaid,Residential,0,5,85,1,FALSE
ORG2712,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,4,Short-term,Deactive,Price,Prepaid,PRO,1,7,14,2,TRUE
ORG3120,NBDBBB THPP JT THPP,Visitors’ Line Extra,16,Short-term,Deactive,Moved,Prepaid,Residential,1,6,76,3,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Billing Issues,Postpaid,Corporate,1,6,41,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Economy Plan,76,Short-term,Active,Good Service,Postpaid,Corporate,0,8,65,3,TRUE
ORG2411,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Premium Orange Plan,102,Medium-term,Hard Suspended,Violation of terms,Prepaid,Residential,0,2,28,1,TRUE
ORG3866,FJBFR TFBN THPP,Orange 15,135,Long-term,Active,Good Service,Prepaid,Residential,0,6,85,3,FALSE
ORG3120,NBDBBBH THPP (JT),Basic Orange Plan,77,Short-term,Hard Suspended,Non-payment,Prepaid,Residential,0,8,50,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Humat Al Watan 8,138,Long-term,Active,Good Service,Prepaid,Corporate,0,6,85,3,TRUE
ORG2242,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Premium Orange Plan,104,Medium-term,Deactive,Billing Issues,Prepaid,Residential,1,4,30,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,40,Short-term,Deactive,Personal Reasons,Postpaid,Corporate,1,7,68,2,FALSE
ORG2495,FRBNDHJTF-DJTZ NBLL,Orange 90,27,Short-term,Deactive,Personal Reasons,Postpaid,Residential,1,6,17,3,TRUE
ORG2712,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,83,Short-term,Soft Suspended,Document verification,Prepaid,PRO,0,8,55,2,FALSE
ORG4231,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Orange 9 Max,74,Short-term,Soft Suspended,Document verification,Prepaid,Residential,0,10,55,1,FALSE
ORG3925,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Premium Orange Plan,82,Short-term,Hard Suspended,Illegal usage,Prepaid,Residential,0,1,16,1,TRUE
ORG3029,HPLDFN NBRL,Orange 13 Max,62,Short-term,Active,Good Service,Prepaid,Residential,0,6,65,1,FALSE
ORG3448,BJRPPRT TFRNJNBL 1,Short Visit Line,127,Long-term,Active,Good Service,Prepaid,Residential,0,8,85,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,63,Short-term,Active,Good Service,Postpaid,Corporate,0,7,65,2,TRUE
ORG2284,BJRPPRT TFRNJNBL 1,Traveler's Plan,77,Short-term,Hard Suspended,Fraudulent activity,Prepaid,Residential,0,1,34,1,TRUE
ORG4101,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Visitors' Line,95,Medium-term,Deactive,Personal Reasons,Prepaid,Residential,1,6,54,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,40,Short-term,Deactive,Lack of Usage,Postpaid,Corporate,1,6,11,2,TRUE
ORG4135,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Humat Al Watan Golden 7,64,Short-term,Active,Good Service,Prepaid,Residential,0,8,65,1,FALSE
ORG3957,HPLDFN NBRL,Premium Orange Plan,93,Medium-term,Hard Suspended,Violation of terms,Prepaid,Residential,0,1,80,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Technical Difficulties,Postpaid,Corporate,1,7,28,2,FALSE
ORG4188,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,91,Medium-term,Soft Suspended,Customer request,Prepaid,PRO,0,10,55,2,TRUE
ORG3207,FJFLDTBLFT,Basic Orange Plan,65,Short-term,Active,Good Service,Prepaid,PRO,0,8,65,3,TRUE
ORG3650,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Family Orange Plan 10,73,Short-term,Soft Suspended,Document verification,Prepaid,Residential,0,10,55,1,FALSE
ORG2660,HPLDFN NBRL,Basic Orange Plan,120,Long-term,Active,Good Service,Prepaid,Residential,0,5,65,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Technical Difficulties,Postpaid,Corporate,1,6,74,2,TRUE
ORG2862,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Premium Orange Plan,17,Short-term,Deactive,Service Quality,Prepaid,Residential,1,7,60,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Unknown,83,Short-term,Active,Good Service,Postpaid,Corporate,0,8,65,3,TRUE
ORG2268,HPLDFN NBRL,Orange 9 Max,126,Long-term,Hard Suspended,Non-payment,Prepaid,Residential,0,5,65,1,TRUE
ORG3856,HPLDFN XJNHT,Student Plan 5,110,Medium-term,Soft Suspended,Service upgrade,Prepaid,Residential,0,10,55,1,TRUE
ORG2353,HPLDFN NBRL,Basic Orange Plan,109,Medium-term,Soft Suspended,Customer request,Prepaid,Residential,0,6,55,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,85,Short-term,Active,Good Service,Postpaid,Corporate,0,1,65,2,FALSE
ORG4028,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,148,Long-term,Soft Suspended,Document verification,Prepaid,Residential,0,10,75,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Humat Al Watan 8,152,Long-term,Active,Good Service,Prepaid,Corporate,0,6,85,3,TRUE
ORG3448,BJRPPRT TFRNJNBL 1,Traveler's Plan,136,Long-term,Hard Suspended,Violation of terms,Prepaid,Residential,0,8,65,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Network Issues,Postpaid,Corporate,1,7,46,2,TRUE
ORG3132,RPZBL DPVRT THPP (RD),Traveler's Plan,145,Long-term,Active,Good Service,Prepaid,Corporate,0,6,85,3,TRUE
